name,category
1 mainstream,Apps
1 mainstream,Cable
1 mainstream,Distribution
1 mainstream,Software
1000 markets,Art
1000 markets,E-Commerce
1000 markets,Marketplaces
1000memories,Curated Web
100plus,Analytics
1010data,Software
10bestthings,Curated Web
11i solutions,Enterprise Software
yelster digital gmbh (former 123people),Local Search
yelster digital gmbh (former 123people),Software
yelster digital gmbh (former 123people),Web Design
12society,E-Commerce
13th lab,Augmented Reality
13th lab,Computer Vision
13th lab,Games
13th lab,iPad
13th lab,Mobile
169 st.,Entertainment
169 st.,Games
170 systems,Software
180solutions,Advertising
180solutions,Advertising Platforms
180solutions,Promotional
1bib,Cars
1bib,Curated Web
one block off the grid (1bog),Clean Technology
one block off the grid (1bog),Residential Solar
1c company,Games
1c company,Software
1c company,Video Games
1cast,Content
1cast,Lifestyle
1cast,News
1cast,Video
1click,Chat
1click,Mobile
1daylater,Curated Web
1daylater,Tracking
1daymakeover,Cosmetics
1daymakeover,E-Commerce
1daymakeover,Fashion
1daymakeover,Lifestyle
1daymakeover,Personal Health
1daymakeover,Shopping
1docway,Doctors
1docway,Health Care
1docway,Health Care Information Technology
1docway,Video
1docway,Video Chat
2100b sausalito llc.,Advertising
2100b sausalito llc.,Direct Marketing
2100b sausalito llc.,Social Media
21vianet,Software
21vianet,Web Hosting
22nd century group,Biotechnology
22seeds,Android
22seeds,Apps
22seeds,Internet
22seeds,iPhone
22seeds,Mobile
22seeds,Sales and Marketing
22seeds,Software
22seeds,Web Development
22seeds,Web Tools
24/7 card,Finance
24h00,Advertising
24h00,E-Commerce
24h00,Marketing Automation
24pagebooks,Software
25eight,DIY
25eight,Electronics
25eight,Software
27 perry,E-Commerce
27 perry,Finance
27 perry,Marketplaces
280 north,Presentations
280 north,Software
2lemetry,Internet of Things
2lemetry,M2M
2lemetry,Software
2mee,Content
2mee,Software
2mee,Sports
"2nd story software, inc.",Software
2pm technologies,SaaS
2pm technologies,Technology
2pm technologies,Telecommunications
2u inc.,EdTech
2u inc.,Education
2u inc.,Software
2web technologies,Software
2win-solutions,Collaboration
2win-solutions,Networking
2win-solutions,Project Management
2win-solutions,SaaS
2win-solutions,Software
2win-solutions,Task Management
2wire,Curated Web
3 day blinds,Interior Design
3 day blinds,Retail
3 day blinds,Services
360commerce,Information Technology
360commerce,Retail
360commerce,Software
360t,Finance
360t,FinTech
3clickemr corporation,Consumer Electronics
3clickemr corporation,Electronic Health Records
3clickemr corporation,Health Care
3clickemr corporation,iPad
3clickemr corporation,Software
xdn/3crowd technologies,Enterprise Software
3d future vision ii,Games
3d systems,Software
3dc,Technology
3dduo,Business Services
3dduo,Video Games
3dphy.com,Creative
3dphy.com,Digital Media
nimble vr,Software
3i systems,Semiconductors
3leaf,Web Hosting
3lm,Android
3lm,Enterprises
3lm,Mobile
3par,Cloud Data Services
3par,Services
3par,Software
3tier,Clean Technology
3touch,Software
3v transaction services,Coupons
3v transaction services,Online Shopping
3v transaction services,Payments
3v transaction services,Retail Technology
3ware,Databases
3ware,Electronics
3ware,Storage
41st parameter,Security
42networks,Web Hosting
42race,Online Travel
42race,Sports
42race,Travel
4blox,Software
4dk technologies,Mobile
4home,Automotive
4home,Clean Energy
4home,Cloud Computing
4home,Internet
4home,Software
4home,Wireless
4meee,E-Commerce
500friends,E-Commerce
500friends,Enterprise Software
500friends,Loyalty Programs
500friends,Social Media
51 auto,Automotive
56.com,Photography
58.com,Curated Web
58.com,Internet
58.com,Software
59sec,Advertising
59sec,Lead Management
59sec,Sales and Marketing
5barz international,Mobile
5barz international,Technology
5barz international,Wireless
5by,Apps
5by,Photography
5by,Photo Sharing
5min media,Education
5min media,Games
5min media,Video
5rocks,Games
5th finger,Mobile
5to1,Advertising
5to1,Internet
5to1,Internet Marketing
60mo,Accounting
60mo,Business Development
60mo,Finance
60mo,Software
60mo,Web Development
640 labs,Software
6d global technologies,Services
6n silicon,Concentrated Solar Power
6n silicon,Manufacturing
6n silicon,Solar
6th sense analytics,Software
6wunderkinder / wunderlist,Android
6wunderkinder / wunderlist,Apps
6wunderkinder / wunderlist,Cloud Computing
6wunderkinder / wunderlist,Collaboration
6wunderkinder / wunderlist,Email
6wunderkinder / wunderlist,Finance
6wunderkinder / wunderlist,Home & Garden
6wunderkinder / wunderlist,Internet
6wunderkinder / wunderlist,iOS
6wunderkinder / wunderlist,iPad
6wunderkinder / wunderlist,iPhone
6wunderkinder / wunderlist,Mac
6wunderkinder / wunderlist,Productivity Software
6wunderkinder / wunderlist,Software
6wunderkinder / wunderlist,Synchronization
6wunderkinder / wunderlist,Task Management
6wunderkinder / wunderlist,Web Development
7 billion people,Analytics
7 billion people,E-Commerce
7 billion people,Software
77 pieces,Curated Web
7digital,Content Creators
7digital,Content Delivery
7digital,Licensing
7digital,Music
7digital,Music Services
7digital,Technology
80/20 solutions,Advertising
80/20 solutions,Email
80/20 solutions,Loyalty Programs
80/20 solutions,Mobile
80/20 solutions,SaaS
80/20 solutions,Sales and Marketing
80/20 solutions,Social Media
80/20 solutions,Software
8aweek,Curated Web
8aweek,Task Management
8d world,Games
8d world,Virtual Worlds
8hands,Messaging
8hands,Public Relations
8hands,Social Media
8x8 inc,Contact Centers
8x8 inc,Telecommunications
8x8 inc,Unifed Communications
8x8 inc,Video Conferencing
909c,Apps
909c,Publishing
909c,Social Media
909c,Social Media Marketing
91 wireless,Mobile
99 fahrenheit,Finance
99bill,E-Commerce
99bill,Payments
99dresses,Fashion
99dresses,File Sharing
99times.cn,E-Commerce
9car technology llc,Automotive
9car technology llc,Cars
9car technology llc,E-Commerce
9cookies,Point of Sale
9cookies,Restaurants
9facts,SEO
9facts,Social Media
9slides,Enterprises
9slides,Enterprise Software
9slides,iPad
9slides,Presentations
9slides,SaaS
9slides,Training
a bit lucky,Games
a bit lucky,Social Games
a-life medical,Biotechnology
a-power energy generation systems,Clean Technology
a smarter city,Networking
a smarter city,Sensors
a smarter city,Software
a smarter city,Wireless
a10 networks,Cloud Computing
a10 networks,Communications Hardware
a10 networks,Hardware
a10 networks,Networking
a10 networks,Optimization
a10 networks,Security
a10 networks,SEO
a10 networks,Technology
a10 networks,Virtualization
a10 networks,Web Hosting
a123 systems,Batteries
a123 systems,Clean Technology
a123 systems,Energy Storage
a123 systems,Mobile
a2b,Online Rental
a2b,Online Reservations
a2b,Transportation
a4vision,3D Technology
a8 digital music,Music
aac technologies holdings,Hardware + Software
aarden pharmaceuticals,Biotechnology
aardvark,Search
aarohi communication,Application Platforms
aarohi communication,Communications Infrastructure
aarohi communication,Storage
aastrom biosciences,Biotechnology
abacast,Analytics
tunepresto,Music
tunepresto,Video Editing
tunepresto,Web Development
abattis bioceuticals,Biotechnology
abaxia,Software
abazab,Curated Web
abb,Automotive
abb,Clean Technology
abb,Energy
abb,Technology
abbeypost,E-Commerce
abbeypost,Fashion
abbeypost,Women
abbott labs,Biotechnology
abbott labs,Health and Wellness
abbott labs,Medical
abbott labs,Venture Capital
abc live,Advertising
abcellute,Biotechnology
abebooks,Curated Web
abebooks,Textbooks
abidoc,Doctors
abidoc,Health Care
abidoc,Health Diagnostics
ablation frontiers,Innovation Engineering
ablation frontiers,Medical
ablation frontiers,Medical Devices
ablynx,Biotechnology
abound solar,Clean Technology
abound solar,Solar
web reservations international,Curated Web
web reservations international,Web Development
absolutely training,Education
abtech holdings,Engineering Firms
abtech holdings,Environmental Innovation
abtech holdings,Technology
fashionade.com (abundant closet),E-Commerce
abzena,Biotechnology
abzorba games,Apps
abzorba games,Games
abzorba games,Mobile
abzorba games,Social Media
abzorba games,Software
a.c. moore,E-Commerce
acacia research,Business Services
acacia research,Intellectual Asset Management
acacia research,Licensing
academic earth,EdTech
academic earth,Education
academic earth,Video
academy events services,Events
academy events services,Manufacturing
academy events services,Services
academy123,Education
acadia pharmaceuticals,Biotechnology
acadia pharmaceuticals,Health Care
accelecare wound centers,Health Care
accelecare wound centers,Hospitals
accelecare wound centers,Medical
accelera innovations,Health and Wellness
accelerate diagnostics,Health Care
accelerate diagnostics,Health Diagnostics
accelerate diagnostics,Medical Devices
accelerated orthopedic technologies,Health Care
accelerated technologies,Medical
accelerated technologies,Medical Devices
accelerated technologies,Technology
accelerize new media,Enterprise Software
acceleron pharma,Biotechnology
accelgolf,Apps
accelgolf,Finance
accelgolf,Mobile
accelgolf,Sports
accelight networks,Consumer Electronics
accelight networks,Electronics
