name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status
1000memories,Curated Web,2535000,USA,CA,2010-07-01,2,2010-01-01,2011-02-16,acquired
100Plus,Analytics,1250000,USA,CA,2011-09-16,2,2011-11-02,2011-11-30,acquired
1010data,Software,35000000,USA,NY,2000-01-01,1,2010-03-08,2010-03-08,acquired
10BestThings,Curated Web,50000,USA,OH,2009-04-01,1,2009-04-01,2009-04-01,closed
11i Solutions,Enterprise Software,1800000,USA,AL,,1,2011-03-22,2011-03-22,closed
12Society,E-Commerce,-,USA,CA,2012-01-01,1,2012-04-05,2012-04-05,acquired
170 Systems,Software,14000000,USA,MA,1990-01-01,1,2002-04-16,2002-04-16,acquired
22nd Century Group,Biotechnology,15034750,USA,NY,1998-01-01,6,2010-12-28,2014-09-18,ipo
24/7 Card,Finance,3452941,USA,CA,,3,2010-10-25,2011-12-21,closed
24PageBooks,Software,50000,USA,NY,2010-01-01,1,2011-05-24,2011-05-24,closed
"2nd Story Software, Inc.",Software,85000000,USA,IA,1998-02-15,1,2005-03-30,2005-03-30,acquired
2Web Technologies,Software,-,,,,1,2001-12-01,2001-12-01,acquired
2Wire,Curated Web,162000000,USA,CA,,5,1999-11-01,2003-05-12,acquired
XDN/3Crowd Technologies,Enterprise Software,7289000,USA,CA,2010-01-01,3,2009-12-22,2012-07-01,acquired
3D FUTURE VISION II,Games,503000,USA,FL,2011-01-01,2,2011-06-22,2013-03-21,closed
3D Systems,Software,169500000,USA,SC,1986-01-01,3,2014-01-15,2014-10-13,ipo
3DC,Technology,-,BGR,42,2009-01-01,1,2009-01-01,2009-01-01,acquired
Nimble VR,Software,2249999,USA,CA,2012-01-01,2,2012-03-30,2014-04-02,acquired
3i Systems,Semiconductors,13708150,CHN,5,2006-11-01,3,2007-08-20,2010-03-01,closed
3Leaf,Web Hosting,65000000,USA,CA,2004-06-01,3,2005-01-01,2008-09-22,acquired
3TIER,Clean Technology,15000000,USA,WA,1999-01-01,3,2007-09-05,2010-02-25,acquired
3Touch,Software,272000,IRL,29,2003-01-01,1,2007-05-01,2007-05-01,closed
41st Parameter,Security,38064570,USA,CA,2004-01-01,4,2006-05-08,2012-04-11,acquired
42Networks,Web Hosting,2258720,SWE,26,,1,2006-02-13,2006-02-13,acquired
4Blox,Software,-,USA,CA,2006-08-01,1,2007-09-10,2007-09-10,closed
4DK Technologies,Mobile,3378975,USA,VA,2005-01-01,1,2011-12-12,2011-12-12,acquired
4meee,E-Commerce,500000,JPN,40,,1,2014-08-13,2014-08-13,acquired
51 Auto,Automotive,4500000,,,,1,2008-06-01,2008-06-01,closed
56.com,Photography,30000000,CHN,30,2005-04-01,2,2007-06-01,2007-12-01,acquired
5Rocks,Games,3987693,KOR,11,2013-06-18,2,2010-09-01,2013-09-03,acquired
5th Finger,Mobile,7000000,USA,CA,2008-01-01,1,2008-06-13,2008-06-13,acquired
640 Labs,Software,3050000,USA,IL,2013-01-01,3,2014-06-20,2014-10-20,acquired
6th Sense Analytics,Software,6700000,USA,NC,2004-01-01,2,2005-11-11,2007-01-31,acquired
77 Pieces,Curated Web,650000,NZL,G2,2010-05-25,1,2011-03-01,2011-03-01,closed
91 Wireless,Mobile,30000000,CHN,3,2010-09-01,1,2011-12-01,2011-12-01,acquired
99 Fahrenheit,Finance,1380700,ITA,9,2011-10-01,1,2011-10-15,2011-10-15,closed
99times.cn,E-Commerce,-,CHN,23,2005-01-01,1,2010-08-23,2010-08-23,closed
A-Life Medical,Biotechnology,3000000,USA,CA,,1,2009-06-03,2009-06-03,acquired
A-Power Energy Generation Systems,Clean Technology,10200000,CHN,19,2003-01-01,1,2011-01-19,2011-01-19,closed
A8 Digital Music,Music,50000000,CHN,30,2000-01-01,2,2004-10-01,2005-12-08,ipo
AAC Technologies Holdings,Hardware + Software,-,CHN,2,1993-01-01,1,2004-11-10,2004-11-10,ipo
Aarden Pharmaceuticals,Biotechnology,500000,USA,IN,2008-01-01,1,2011-01-03,2011-01-03,closed
Aardvark,Search,6000000,USA,CA,2007-07-01,2,2007-01-01,2008-10-01,acquired
Aastrom Biosciences,Biotechnology,40000000,USA,MI,1989-01-01,1,2012-03-09,2012-03-09,ipo
Abacast,Analytics,500000,USA,WA,2000-04-02,1,2010-11-11,2010-11-11,acquired
Abattis Bioceuticals,Biotechnology,400988,CAN,BC,1997-09-29,3,2010-11-03,2014-04-07,ipo
Abaxia,Software,1770000,FRA,A8,2001-01-01,1,2005-11-08,2005-11-08,acquired
Abazab,Curated Web,4400000,USA,CA,1997-01-01,2,2006-05-05,2009-05-04,closed
ABC Live,Advertising,25000,IND,5,2007-12-05,1,2007-01-05,2007-01-05,closed
Abcellute,Biotechnology,805908,GBR,H9,2001-01-01,1,2007-09-21,2007-09-21,closed
Ablynx,Biotechnology,186036236,BEL,8,2001-01-01,6,2002-09-25,2014-08-13,ipo
Absolutely Training,Education,451198.382904996,,,,1,2005-08-12,2005-08-12,closed
FashionAde.com (Abundant Closet),E-Commerce,60000,USA,GA,2008-01-01,1,2010-02-23,2010-02-23,closed
Abzena,Biotechnology,64640151.5803158,GBR,H9,2002-01-01,2,2014-07-07,2015-11-24,ipo
A.C. Moore,E-Commerce,10000000,USA,NJ,1984-01-01,1,2009-06-05,2009-06-05,ipo
Academy123,Education,2000000,USA,CA,2004-01-01,1,2004-08-01,2004-08-01,acquired
Accelera Innovations,Health and Wellness,200000000,USA,IL,,1,2013-10-24,2013-10-24,ipo
Accelerated Orthopedic Technologies,Health Care,150000,USA,CT,,1,2012-05-18,2012-05-18,closed
Accelerize New Media,Enterprise Software,4045500,USA,CA,2005-01-01,3,2010-05-10,2014-04-16,ipo
Acceleron Pharma,Biotechnology,113701127,USA,MA,2004-01-01,6,2006-08-02,2011-12-23,ipo
AccelOne,Software,225000,USA,WA,2013-01-01,1,2014-04-29,2014-04-29,closed
Accenx Technologies,Software,4500000,USA,CA,1997-01-01,2,2007-09-13,2009-02-27,acquired
Access Closure,Health Care,13793098,USA,CA,2002-01-01,3,2010-03-03,2012-10-01,acquired
Access Pharmaceuticals,Biotechnology,15581502,USA,TX,,2,2011-11-14,2012-11-06,closed
Access Scientific,Health Care,21376001,USA,CA,2004-01-01,6,2009-10-06,2012-06-21,acquired
Inherited Health,Health and Wellness,1155000,USA,CA,2007-11-01,2,2008-01-01,2009-08-01,acquired
