name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status
1 Mainstream,"['Apps', 'Cable', 'Distribution', 'Software']",5000000,USA,CA,2012-03-01,1,2015-03-17,2015-03-17,acquired
1000 Markets,"['Art', 'E-Commerce', 'Marketplaces']",500000,USA,WA,2009-01-01,1,2009-05-15,2009-05-15,acquired
1000memories,['Curated Web'],2535000,USA,CA,2010-07-01,2,2010-01-01,2011-02-16,acquired
100Plus,['Analytics'],1250000,USA,CA,2011-09-16,2,2011-11-02,2011-11-30,acquired
1010data,['Software'],35000000,USA,NY,2000-01-01,1,2010-03-08,2010-03-08,acquired
10BestThings,['Curated Web'],50000,USA,OH,2009-04-01,1,2009-04-01,2009-04-01,closed
11i Solutions,['Enterprise Software'],1800000,USA,AL,,1,2011-03-22,2011-03-22,closed
yelster digital gmbh (former 123people),"['Local Search', 'Software', 'Web Design']",-,AUT,9,2007-01-01,1,2008-01-01,2008-01-01,acquired
12Society,['E-Commerce'],-,USA,CA,2012-01-01,1,2012-04-05,2012-04-05,acquired
13th Lab,"['Augmented Reality', 'Computer Vision', 'Games', 'iPad', 'Mobile']",700000,SWE,26,2010-01-01,1,2012-06-15,2012-06-15,acquired
169 ST.,"['Entertainment', 'Games']",50000,USA,FL,2009-05-15,1,2009-06-01,2009-06-01,closed
170 Systems,['Software'],14000000,USA,MA,1990-01-01,1,2002-04-16,2002-04-16,acquired
180Solutions,"['Advertising', 'Advertising Platforms', 'Promotional']",40000000,USA,WA,,1,2004-04-05,2004-04-05,closed
1bib,"['Cars', 'Curated Web']",-,CHN,30,2006-01-01,1,2008-02-07,2008-02-07,closed
One Block Off the Grid (1BOG),"['Clean Technology', 'Residential Solar']",5000000,USA,CA,2008-11-01,1,2010-02-11,2010-02-11,closed
1C Company,"['Games', 'Software', 'Video Games']",200000000,RUS,48,1991-01-01,1,2011-10-03,2011-10-03,closed
1Cast,"['Content', 'Lifestyle', 'News', 'Video']",-,USA,WA,2006-06-01,1,2008-08-12,2008-08-12,closed
1CLICK,"['Chat', 'Mobile']",-,IND,19,2012-11-01,1,2014-01-26,2014-01-26,acquired
1DayLater,"['Curated Web', 'Tracking']",43811,AUS,2,2009-08-26,2,2009-05-01,2009-10-01,closed
1DayMakeover,"['Cosmetics', 'E-Commerce', 'Fashion', 'Lifestyle', 'Personal Health', 'Shopping']",50000,USA,CA,2008-06-30,1,2008-06-30,2008-06-30,closed
1DocWay,"['Doctors', 'Health Care', 'Health Care Information Technology', 'Video', 'Video Chat']",1700000,USA,NY,2011-02-01,2,2011-08-10,2015-07-21,acquired
2100b Sausalito LLC.,"['Advertising', 'Direct Marketing', 'Social Media']",50000,USA,CA,2011-06-15,2,2013-01-01,2013-01-01,closed
21viaNet,"['Software', 'Web Hosting']",396000000,CHN,22,2009-10-16,5,2008-02-13,2014-12-04,ipo
22nd Century Group,['Biotechnology'],15034750,USA,NY,1998-01-01,6,2010-12-28,2014-09-18,ipo
22seeds,"['Android', 'Apps', 'Internet', 'iPhone', 'Mobile', 'Sales and Marketing', 'Software', 'Web Development', 'Web Tools']",250000,ISR,5,2010-01-01,1,2013-10-15,2013-10-15,closed
24/7 Card,['Finance'],3452941,USA,CA,,3,2010-10-25,2011-12-21,closed
24h00,"['Advertising', 'E-Commerce', 'Marketing Automation']",-,FRA,A8,2006-01-01,1,2006-08-01,2006-08-01,closed
24med Sp,,-,,,,1,2008-01-01,2008-01-01,closed
24PageBooks,['Software'],50000,USA,NY,2010-01-01,1,2011-05-24,2011-05-24,closed
25eight,"['DIY', 'Electronics', 'Software']",25000,USA,CA,,1,2010-01-26,2010-01-26,closed
27 Perry,"['E-Commerce', 'Finance', 'Marketplaces']",118000,USA,CO,2012-07-25,1,2012-05-17,2012-05-17,closed
280 North,"['Presentations', 'Software']",250000,USA,CA,,2,2008-01-01,2008-03-01,acquired
29West,,-,,,,1,2007-03-15,2007-03-15,acquired
2lemetry,"['Internet of Things', 'M2M', 'Software']",4000000,USA,CO,2011-09-01,1,2015-01-09,2015-01-09,acquired
2mee,"['Content', 'Software', 'Sports']",100000,,,,1,2015-04-16,2015-04-16,closed
2nd Screen Games,,-,USA,CA,,1,2012-12-01,2012-12-01,closed
"2nd Story Software, Inc.",['Software'],85000000,USA,IA,1998-02-15,1,2005-03-30,2005-03-30,acquired
2pm Technologies,"['SaaS', 'Technology', 'Telecommunications']",3167062,IRL,10,1999-11-23,1,2002-11-01,2002-11-01,closed
2U Inc.,"['EdTech', 'Education', 'Software']",95875000,USA,MD,2008-01-01,6,2009-03-25,2013-10-21,ipo
2Web Technologies,['Software'],-,,,,1,2001-12-01,2001-12-01,acquired
2Win-Solutions,"['Collaboration', 'Networking', 'Project Management', 'SaaS', 'Software', 'Task Management']",-,ISR,2,,1,2008-01-01,2008-01-01,closed
2Wire,['Curated Web'],162000000,USA,CA,,5,1999-11-01,2003-05-12,acquired
3 day Blinds,"['Interior Design', 'Retail', 'Services']",-,USA,CA,1984-01-01,1,1998-03-13,1998-03-13,acquired
3 Kinds of Ice,,-,GBR,H9,2015-01-10,1,2015-01-10,2015-01-10,closed
30SecondsToFly - Claire,,-,,,2015-04-15,1,2015-09-30,2015-09-30,closed
360Commerce,"['Information Technology', 'Retail', 'Software']",15000000,USA,TX,,2,2001-01-01,2003-10-29,acquired
