name,category_list,funding_total_usd,country_code,state_code,founded_at,funding_rounds,first_funding_at,last_funding_at,status_binary
1 mainstream,"['Apps', 'Cable', 'Distribution', 'Software']",5000000.0,USA,CA,2012-03-01,1,2015-03-17,2015-03-17,1
1000 markets,"['Art', 'E-Commerce', 'Marketplaces']",500000.0,USA,WA,2009-01-01,1,2009-05-15,2009-05-15,1
1000memories,['Curated Web'],2535000.0,USA,CA,2010-07-01,2,2010-01-01,2011-02-16,1
100plus,['Analytics'],1250000.0,USA,CA,2011-09-16,2,2011-11-02,2011-11-30,1
1010data,['Software'],35000000.0,USA,NY,2000-01-01,1,2010-03-08,2010-03-08,1
10bestthings,['Curated Web'],50000.0,USA,OH,2009-04-01,1,2009-04-01,2009-04-01,0
11i solutions,['Enterprise Software'],1800000.0,USA,AL,2006-12-09,1,2011-03-22,2011-03-22,0
yelster digital gmbh (former 123people),"['Local Search', 'Software', 'Web Design']",22966913.78341673,AUT,9,2007-01-01,1,2008-01-01,2008-01-01,1
12society,['E-Commerce'],41358853.86867132,USA,CA,2012-01-01,1,2012-04-05,2012-04-05,1
13th lab,"['Augmented Reality', 'Computer Vision', 'Games', 'iPad', 'Mobile']",700000.0,SWE,26,2010-01-01,1,2012-06-15,2012-06-15,1
169 st.,"['Entertainment', 'Games']",50000.0,USA,FL,2009-05-15,1,2009-06-01,2009-06-01,0
170 systems,['Software'],14000000.0,USA,MA,1990-01-01,1,2002-04-16,2002-04-16,1
180solutions,"['Advertising', 'Advertising Platforms', 'Promotional']",40000000.0,USA,WA,1999-12-24,1,2004-04-05,2004-04-05,0
1bib,"['Cars', 'Curated Web']",171682000.60144928,CHN,30,2006-01-01,1,2008-02-07,2008-02-07,0
one block off the grid (1bog),"['Clean Technology', 'Residential Solar']",5000000.0,USA,CA,2008-11-01,1,2010-02-11,2010-02-11,0
1c company,"['Games', 'Software', 'Video Games']",200000000.0,RUS,48,1991-01-01,1,2011-10-03,2011-10-03,0
1cast,"['Content', 'Lifestyle', 'News', 'Video']",41358853.86867132,USA,WA,2006-06-01,1,2008-08-12,2008-08-12,0
1click,"['Chat', 'Mobile']",16226805.084210526,IND,19,2012-11-01,1,2014-01-26,2014-01-26,1
1daylater,"['Curated Web', 'Tracking']",43811.0,AUS,2,2009-08-26,2,2009-05-01,2009-10-01,0
1daymakeover,"['Cosmetics', 'E-Commerce', 'Fashion', 'Lifestyle', 'Personal Health', 'Shopping']",50000.0,USA,CA,2008-06-30,1,2008-06-30,2008-06-30,0
1docway,"['Doctors', 'Health Care', 'Health Care Information Technology', 'Video', 'Video Chat']",1700000.0,USA,NY,2011-02-01,2,2011-08-10,2015-07-21,1
2100b sausalito llc.,"['Advertising', 'Direct Marketing', 'Social Media']",50000.0,USA,CA,2011-06-15,2,2013-01-01,2013-01-01,0
21vianet,"['Software', 'Web Hosting']",396000000.0,CHN,22,2009-10-16,5,2008-02-13,2014-12-04,1
22nd century group,['Biotechnology'],15034750.0,USA,NY,1998-01-01,6,2010-12-28,2014-09-18,1
22seeds,"['Android', 'Apps', 'Internet', 'iPhone', 'Mobile', 'Sales and Marketing', 'Software', 'Web Development', 'Web Tools']",250000.0,ISR,5,2010-01-01,1,2013-10-15,2013-10-15,0
24/7 card,['Finance'],3452941.0,USA,CA,2006-07-14,3,2010-10-25,2011-12-21,0
24h00,"['Advertising', 'E-Commerce', 'Marketing Automation']",15698415.835953712,FRA,A8,2006-01-01,1,2006-08-01,2006-08-01,0
24pagebooks,['Software'],50000.0,USA,NY,2010-01-01,1,2011-05-24,2011-05-24,0
25eight,"['DIY', 'Electronics', 'Software']",25000.0,USA,CA,2005-10-15,1,2010-01-26,2010-01-26,0
27 perry,"['E-Commerce', 'Finance', 'Marketplaces']",118000.0,USA,CO,2012-07-25,1,2012-05-17,2012-05-17,0
280 north,"['Presentations', 'Software']",250000.0,USA,CA,2003-09-20,2,2008-01-01,2008-03-01,1
2lemetry,"['Internet of Things', 'M2M', 'Software']",4000000.0,USA,CO,2011-09-01,1,2015-01-09,2015-01-09,1
2mee,"['Content', 'Software', 'Sports']",100000.0,SGP,unknown,2011-01-03,1,2015-04-16,2015-04-16,0
"2nd story software, inc.",['Software'],85000000.0,USA,IA,1998-02-15,1,2005-03-30,2005-03-30,1
2pm technologies,"['SaaS', 'Technology', 'Telecommunications']",3167062.0,IRL,10,1999-11-23,1,2002-11-01,2002-11-01,0
2u inc.,"['EdTech', 'Education', 'Software']",95875000.0,USA,MD,2008-01-01,6,2009-03-25,2013-10-21,1
2web technologies,['Software'],15515606.656651298,SGP,unknown,1997-08-20,1,2001-12-01,2001-12-01,1
2win-solutions,"['Collaboration', 'Networking', 'Project Management', 'SaaS', 'Software', 'Task Management']",15545129.460227272,ISR,2,2003-09-20,1,2008-01-01,2008-01-01,0
2wire,['Curated Web'],162000000.0,USA,CA,1995-07-21,5,1999-11-01,2003-05-12,1
3 day blinds,"['Interior Design', 'Retail', 'Services']",41358853.86867132,USA,CA,1984-01-01,1,1998-03-13,1998-03-13,1
360commerce,"['Information Technology', 'Retail', 'Software']",15000000.0,USA,TX,1996-09-20,2,2001-01-01,2003-10-29,1
360t,"['Finance', 'FinTech']",26718000.17836007,DEU,5,2000-01-01,1,2012-02-16,2012-02-16,1
3clickemr corporation,"['Consumer Electronics', 'Electronic Health Records', 'Health Care', 'iPad', 'Software']",500000.0,USA,MA,2010-06-23,2,2010-06-23,2011-06-01,0
xdn/3crowd technologies,['Enterprise Software'],7289000.0,USA,CA,2010-01-01,3,2009-12-22,2012-07-01,1
3d future vision ii,['Games'],503000.0,USA,FL,2011-01-01,2,2011-06-22,2013-03-21,0
